dates,article_links
30-Oct-15,http://www.bloomberg.com/news/articles/2015-10-30/meg-whitman-bets-smaller-hp-will-be-agile-enough-to-take-on-dell
30-Oct-15,http://www.bloomberg.com/news/articles/2015-10-30/showroomprive-raises-280-million-after-ipo-priced-at-low-end
29-Oct-15,http://www.bloomberg.com/news/articles/2015-10-29/target-seeking-an-edge-over-wal-mart-with-free-holiday-shipping-igcxexng
29-Oct-15,http://www.bloomberg.com/news/articles/2015-10-29/do-online-deals-for-iphones-and-bibles-signal-india-rate-cuts-
29-Oct-15,http://www.bloomberg.com/news/articles/2015-10-29/speedy-packets-aims-to-keep-your-online-video-streaming
29-Oct-15,http://www.bloomberg.com/news/articles/2015-10-29/apple-s-secrecy-hurts-its-ai-software-development
29-Oct-15,http://www.bloomberg.com/news/articles/2015-10-29/grown-up-coloring-books-popularity-hobbles-a-london-publisher
29-Oct-15,http://www.bloomberg.com/news/articles/2015-10-29/wal-mart-bets-on-in-store-pickup-in-holiday-showdown-with-amazon
29-Oct-15,http://www.bloomberg.com/news/articles/2015-10-29/chevron-oil-pollution-and-the-case-of-the-tainted-witness
29-Oct-15,http://www.bloomberg.com/news/articles/2015-10-29/danone-gains-as-china-outlook-boosted-by-end-to-one-child-policy
29-Oct-15,http://www.bloomberg.com/news/articles/2015-10-29/online-lender-avant-wants-to-become-amazon-of-finance
28-Oct-15,http://www.bloomberg.com/news/articles/2015-10-28/brazil-deals-blow-to-schwarzenegger-championed-carbon-trade
28-Oct-15,http://www.bloomberg.com/news/articles/2015-10-28/why-is-silicon-valley-pouring-millions-of-dollars-into-old-clothes-
27-Oct-15,http://www.bloomberg.com/news/articles/2015-10-27/oracle-goes-after-amazon-with-new-cloud-computing-offering
27-Oct-15,http://www.bloomberg.com/news/articles/2015-10-27/convoy-debuts-aiming-to-be-the-uber-of-trucks
26-Oct-15,http://www.bloomberg.com/news/articles/2015-10-26/wal-mart-joins-race-for-drone-delivery-with-u-s-faa-application
26-Oct-15,http://www.bloomberg.com/news/articles/2015-10-26/china-s-hottest-stock-trade-gets-pricey-as-mobius-urges-caution
26-Oct-15,http://www.bloomberg.com/news/articles/2015-10-26/oracle-s-ellison-says-cloud-industry-still-in-early-days-
26-Oct-15,http://www.bloomberg.com/news/articles/2015-10-26/don-t-let-wal-mart-fool-you-u-s-investors-still-love-consumers
25-Oct-15,http://www.bloomberg.com/news/articles/2015-10-26/japanese-stocks-rise-after-china-rate-cut-ahead-of-boj-meeting
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/stocks-roar-back-as-s-p-500-heads-for-best-month-in-four-years
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/ballmer-says-microsoft-has-advantage-over-amazon-in-hiring
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/facebook-hits-100-as-three-year-jump-adds-235-billion-to-stock
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/-100-billion-rally-coming-in-google-microsoft-amazon-shares
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/yahoo-s-17-million-bet-on-nfl-streaming-gets-tested-sunday
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/wall-street-analysts-are-going-gaga-over-amazon-s-blockbuster-earnings-report
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/tax-collectors-are-going-after-netflix-airbnb-and-burning-man
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/draghi-rally-tech-earnings-beat-and-europe-pmis-what-people-in-markets-are-talking-about
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/nasdaq-futures-jump-after-amazon-google-earnings-beat-targets
23-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/emerging-stocks-head-for-fourth-weekly-gain-on-ecb-stimulus-bets
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/microsoft-s-azure-had-about-400-million-sales-in-june-quarter
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/amazon-ceo-jeff-bezos-promises-wall-street-a-profit
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/the-cloud-is-raining-cash-on-amazon-google-and-microsoft
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-23/asian-stocks-join-global-advance-as-ecb-signals-stimulus-boost
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/asian-stocks-set-to-track-draghi-surge-while-nasdaq-futures-jump
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/strategists-looking-saner-as-tech-earnings-add-fuel-to-s-p-500
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/bezos-leaps-to-third-richest-in-u-s-as-amazon-sales-beat-target
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/amazon-sales-top-estimates-on-prime-day-event-cloud-computing
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/amazon-posts-profit-shares-rise
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/the-robots-chasing-amazon
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/google-books-win-may-threaten-other-media
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/u-s-wind-projects-triple-for-2015-with-amazon-hp-joining-push
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/bad-memories-fading-in-s-p-500-after-10-rally-from-august-low
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/activision-bets-you-will-want-to-watch-geeks-play-video-games
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/u-s-index-futures-rise-as-earnings-pick-up-pace-ebay-rallies
22-Oct-15,http://www.bloomberg.com/news/articles/2015-10-22/after-blow-to-europe-tax-havens-some-promise-more-staying-power
21-Oct-15,http://www.bloomberg.com/news/articles/2015-10-21/asian-futures-tip-return-to-losses-with-oil-near-three-week-low
21-Oct-15,http://www.bloomberg.com/news/articles/2015-10-21/ebay-earnings-show-web-marketplace-recovering-after-paypal-split
21-Oct-15,http://www.bloomberg.com/news/articles/2015-10-21/emc-shareholder-sues-to-block-dell-s-67-billion-acquisition
21-Oct-15,http://www.bloomberg.com/news/articles/2015-10-21/google-unveils-ad-free-youtube-subscription-to-match-rivals
21-Oct-15,http://www.bloomberg.com/news/articles/2015-10-21/emc-quarterly-profit-falls-as-demand-slows-for-storage-devices
21-Oct-15,http://www.bloomberg.com/news/articles/2015-10-21/starbucks-fiat-first-in-firing-line-as-eu-orders-tax-repayments-ig0kk625
21-Oct-15,http://www.bloomberg.com/news/articles/2015-10-21/u-s-index-futures-are-little-changed-after-paring-earlier-gain
21-Oct-15,http://www.bloomberg.com/news/articles/2015-10-21/home-retail-warns-full-year-earnings-to-miss-analysts-estimates
20-Oct-15,http://www.bloomberg.com/news/articles/2015-10-20/amazon-to-hire-100-000-temporary-employees-for-holiday-ramp-up
20-Oct-15,http://www.bloomberg.com/news/articles/2015-10-20/u-s-index-futures-decline-as-investors-weigh-earnings-economy
19-Oct-15,http://www.bloomberg.com/news/articles/2015-10-19/uber-drivers-banker-beating-pay-in-india-cools-as-cabs-multiply
19-Oct-15,http://www.bloomberg.com/news/articles/2015-10-19/drone-makers-cautious-of-obama-plans-to-register-the-craft
19-Oct-15,http://www.bloomberg.com/news/articles/2015-10-19/google-lures-corporate-cloud-buyers-by-cutting-transition-costs
19-Oct-15,http://www.bloomberg.com/news/articles/2015-10-19/yahoo-s-reses-leaves-to-join-jack-dorsey-s-square-before-ipo
19-Oct-15,http://www.bloomberg.com/news/articles/2015-10-19/showroomprive-seeks-424-million-in-web-retailer-s-paris-ipo
19-Oct-15,http://www.bloomberg.com/news/articles/2015-10-19/airport-for-drones-ferrying-e-commerce-goods-planned-for-rwanda
19-Oct-15,http://www.bloomberg.com/news/articles/2015-10-19/auto-parts-retailers-immunity-to-amazon-com-drives-stock-surge
19-Oct-15,http://www.bloomberg.com/news/articles/2015-10-19/pay-tv-losing-300-000-customers-is-good-news-in-cord-cutting-era
18-Oct-15,http://www.bloomberg.com/news/articles/2015-10-19/black-friday-campaign-provides-shopping-catalyst-in-south-korea
16-Oct-15,http://www.bloomberg.com/news/articles/2015-10-17/drone-registry-said-to-be-sought-by-u-s-amid-safety-concerns
16-Oct-15,http://www.bloomberg.com/news/articles/2015-10-16/amazon-targets-web-freelancers-peddling-fake-customer-reviews
16-Oct-15,http://www.bloomberg.com/news/articles/2015-10-16/u-s-stock-investors-hitting-exits-as-october-rebound-continues
16-Oct-15,http://www.bloomberg.com/news/articles/2015-10-16/at-t-verizon-named-in-u-s-probe-of-20-billion-data-market
15-Oct-15,http://www.bloomberg.com/news/articles/2015-10-16/oil-field-seizure-threatens-to-haunt-ecuador-nine-years-later
15-Oct-15,http://www.bloomberg.com/news/articles/2015-10-15/u-s-home-data-ecb-clinton-canada-vote-week-ahead-oct-17-24
15-Oct-15,http://www.bloomberg.com/news/articles/2015-10-15/hey-finance-twitter-you-are-about-to-become-an-etf
15-Oct-15,http://www.bloomberg.com/news/articles/2015-10-15/starbucks-fiat-decisions-expected-in-first-wave-of-eu-tax-cases
15-Oct-15,http://www.bloomberg.com/news/articles/2015-10-15/billionaire-usmanov-to-invest-100m-in-russian-e-sports-firm
15-Oct-15,http://www.bloomberg.com/news/articles/2015-10-15/u-s-stock-index-futures-climb-as-fed-bets-wane-netflix-falls
15-Oct-15,http://www.bloomberg.com/news/articles/2015-10-15/london-mayor-to-cities-resisting-uber-toothpaste-out-of-tube
15-Oct-15,http://www.bloomberg.com/news/articles/2015-10-15/zalando-lowers-profit-margin-forecast-amid-customer-fraud-costs
15-Oct-15,http://www.bloomberg.com/news/articles/2015-10-15/amazon-bets-mexico-street-market-bargain-hunters-will-go-digital
15-Oct-15,http://www.bloomberg.com/news/articles/2015-10-15/best-north-american-technology-ipo-leaps-from-tattoos-to-tesla
15-Oct-15,http://www.bloomberg.com/news/articles/2015-10-15/wal-mart-takes-page-from-jeff-bezos-playbook-investors-can-wait
14-Oct-15,http://www.bloomberg.com/news/articles/2015-10-15/li-fung-plunges-after-customer-wal-mart-predicts-annual-loss
14-Oct-15,http://www.bloomberg.com/news/articles/2015-10-15/glencore-bears-regal-watermark-stick-to-short-bets-amid-rebound
14-Oct-15,http://www.bloomberg.com/news/articles/2015-10-14/wal-mart-ceo-defends-strategy-after-outlook-sends-stock-tumbling-ifr5q4h9
14-Oct-15,http://www.bloomberg.com/news/articles/2015-10-14/amazon-shutters-destinations-booking-site-after-six-months
14-Oct-15,http://www.bloomberg.com/news/articles/2015-10-14/staples-is-said-to-explore-asset-sales-to-help-antitrust-review
14-Oct-15,http://www.bloomberg.com/news/articles/2015-10-14/cbs-s-moonves-says-content-deal-with-apple-tv-is-likely
14-Oct-15,http://www.bloomberg.com/news/articles/2015-10-14/alibaba-s-ma-says-data-resource-is-oil-water-of-the-future
