date,article,msft
2015-11-12,http://www.ibtimes.com/press-release/20151112/wundermans-kbm-group-named-strong-performer-zipline-data-management-platform,msft,
2015-11-12,http://www.ibtimes.com/windows-10-update-microsoft-rolling-out-first-major-upgrade-entice-business-get-board-2181452,msft,
2015-11-12,http://www.ibtimes.com/press-release/20151112/launchpad-are-accelerating-their-growth-appointment-chief-sales-officer,msft,
2015-11-12,http://www.ibtimes.com/xbox-one-gets-xbox-360-backwards-compatibility-play-gears-war-fallout-3-fable-ii-2181192,msft,
2015-11-12,http://www.ibtimes.com/press-release/20151112/worlds-largest-ibeacon-network-emerges-2181249,msft,
2015-11-12,http://www.ibtimes.com/press-release/20151112/flexe-raises-44m-fuel-growth-demand-warehousing-business-2181145,msft,
2015-11-12,http://www.ibtimes.com/press-release/20151112/sahara-group-urges-global-partnerships-zero-poverty-2181040,msft,
2015-11-12,http://www.ibtimes.com/microsoft-offers-european-users-local-data-centers-deutsche-telekom-after-safe-harbor-2180873,msft,
2015-11-11,http://www.ibtimes.com/press-release/20151111/cogobuy-announces-2015-third-quarter-unaudited-operation-results-2180772,msft,
2015-11-11,http://www.ibtimes.com/press-release/20151111/global-connected-living-room-industry-2180659,msft,
2015-11-11,http://www.ibtimes.com/press-release/20151111/sdi-summit-reports-registration-zooming-way-above-projections-2179877,msft,
2015-11-11,http://www.ibtimes.com/press-release/20151111/intacct-delivers-strong-fiscal-q1-results-44-percent-growth-new-bookings,msft,
2015-11-11,http://www.ibtimes.com/press-release/20151111/chelsio-demonstrate-high-performance-cuda-clustering-40g-ethernet-nvidia,msft,
2015-11-11,http://www.ibtimes.com/tim-cook-microsofts-surface-book-deluded-ipad-will-return-growth-2179484,msft,
2015-11-11,http://www.ibtimes.com/press-release/20151111/cireson-joins-experts-live-silver-sponsor-2179436,msft,
2015-11-11,http://www.ibtimes.com/black-friday-2015-deals-iphone-6s-apple-watch-galaxy-note-5-galaxy-s6-edge-s6-edge-2179149,msft,
