date,article,tsla
2015-11-06,http://www.ibtimes.com/strong-payrolls-lift-retailer-hopes-further-2174144,tsla,
2015-11-06,http://www.ibtimes.com/press-release/20151106/extenua-announces-security-mobility-solution-available-aws-marketplace,tsla,
2015-11-06,http://www.ibtimes.com/press-release/20151106/university-connecticuts-womens-basketball-head-coach-geno-auriemma-presented,tsla,
2015-11-06,http://www.ibtimes.com/press-release/20151106/comscore-reports-september-2015-us-smartphone-subscriber-market-share-2173149,tsla,
2015-11-06,http://www.ibtimes.com/press-release/20151106/hybrid-pc-market-revenue-grow-215-cagr-2019-cloud-computing-investment,tsla,
2015-11-06,http://www.ibtimes.com/press-release/20151106/scripps-reports-third-quarter-results-2172797,tsla,
2015-11-06,http://www.ibtimes.com/press-release/20151106/raging-capital-urges-shareholders-not-allow-mellanox-capture-all-upside,tsla,
2015-11-06,http://www.ibtimes.com/press-release/20151106/monster-appears-times-square-part-trans-pacific-marketing-event-2172489,tsla,
2015-11-09,http://www.thestreet.com/story/13357772/1/dow-loses-year-s-gains-as-fed-expectations-shift.html?puc=bloomberg&cm_ven=BLOOMBERG,tsla,
2015-11-09,http://www.thestreet.com/story/13357372/1/stocks-lower-as-interest-rate-talk-continues.html?puc=bloomberg&cm_ven=BLOOMBERG,tsla,
2015-11-09,http://www.thestreet.com/story/13358106/1/stocks-slump-as-investors-face-reality-of-december-rate-hike.html?puc=bloomberg&cm_ven=BLOOMBERG,tsla,
2015-11-06,http://www.bloomberg.com/news/articles/2015-11-06/volkswagen-can-only-save-itself-by-beating-tesla,tsla,
2015-11-05,http://www.bloomberg.com/news/articles/2015-11-05/tesla-renews-model-s-customer-referral-program-through-december,tsla,
2015-11-05,http://www.bloomberg.com/news/articles/2015-11-05/chinese-backed-startup-targets-tesla-with-1-billion-u-s-plant,tsla,
2015-11-04,http://www.bloomberg.com/news/videos/2015-11-04/why-tesla-shares-are-surging-despite-3rd-qtr-loss,tsla,
2015-11-04,http://www.thestreet.com/story/13351845/1/stocks-slip-as-fed-s-yellen-says-december-live-for-hike.html?puc=bloomberg&cm_ven=BLOOMBERG,tsla,
2015-11-04,http://www.thestreet.com/story/13351861/1/3-consumer-goods-stocks-driving-the-sector-higher.html?puc=bloomberg&cm_ven=BLOOMBERG,tsla,
2015-11-04,http://www.bloomberg.com/news/videos/2015-11-04/why-tesla-s-autopilot-is-both-awesome-and-creepy,tsla,
2015-11-04,http://www.bloomberg.com/news/articles/2015-11-03/tesla-rises-after-narrowing-vehicle-delivery-forecast-for-2015,tsla,
2015-11-04,http://www.bloomberg.com/news/videos/2015-11-04/tesla-motors-sees-2015-deliveries-50-000-52-000,tsla,
2015-11-04,http://www.bloomberg.com/news/articles/2015-11-04/s-p-500-futures-hold-steady-before-facebook-results-tesla-jumps,tsla,
2015-11-04,http://www.bloomberg.com/news/articles/2015-11-04/tesla-s-new-cfo-jason-wheeler-gets-15-million-equity-award,tsla,
2015-11-03,http://www.bloomberg.com/news/videos/2015-11-04/tesla-shares-surge-bloomberg-west-full-show-11-03-,tsla,
2015-11-03,http://www.bloomberg.com/news/videos/2015-11-03/tesla-q3-model-s-orders-rose-more-than-50-,tsla,
2015-11-03,http://www.bloomberg.com/news/videos/2015-11-03/tesla-narrows-vehicle-delivery-forecast-for-2015,tsla,
2015-11-03,http://www.bloomberg.com/news/articles/2015-11-03/tesla-s-earnings-report-draws-more-attention-to-output-than-loss,tsla,
2015-11-02,http://www.bloomberg.com/news/videos/2015-11-02/tech-earnings-preview-tesla-etsy-facebook,tsla,
2015-10-28,http://www.bloomberg.com/news/articles/2015-10-28/japan-s-carmakers-proceed-with-caution-on-self-driving-cars,tsla,
2015-11-03,http://techcrunch.com/2015/11/03/tesla-hires-former-google-vp-of-finance-jason-wheeler-as-new-cfo/,tsla
2015-11-03,http://techcrunch.com/greentech/,tsla
2015-11-03,http://techcrunch.com/2015/11/03/tesla-will-unveil-its-most-affordable-car-to-date-in-march-2016/,tsla
2015-11-03,http://techcrunch.com/2015/11/03/tesla-misses-in-q3-earnings-with-adjusted-revenue-of-1-24-billion-and-a-drop-058-in-eps/,tsla
2015-11-03,http://techcrunch.com/2015/10/23/tech-mostly-puts-points-on-the-board/,tsla
2015-10-20,http://techcrunch.com/2015/10/20/tesla-shares-plummet-after-consumer-reports-drops-model-s-recommendation/,tsla
2015-10-14,http://techcrunch.com/2015/10/14/watch-this-self-steering-tesla-model-s-drive-itself-and-us-down-the-highway/,tsla
