date,pos,neg,name_mentioned,total,price_change
2015-10-16,31,10,1,400,0.014792703
2015-10-15,70,3,0,791,0.03232198
2015-10-19,33,4,1,358,0.004187424
2015-11-04,18,7,1,291,0.025011617
2015-10-30,113,29,1,1093,-0.00103737
2015-11-08,79,37,17,964,-0.005884412
2015-11-04,111,52,1,1445,0.025011617
2015-10-26,34,25,1,438,0.015992447
2015-11-10,30,4,3,306,0.006392169
2015-10-19,200,43,1,4641,0.004187424
2015-10-14,18,1,8,312,-0.007414842
2015-10-27,86,67,2,1284,0.003943453
2015-10-14,19,2,1,317,-0.007414842
2015-11-09,28,8,3,399,-0.005884412
2015-11-02,44,7,1,428,0.003914286
2015-10-14,23,10,1,386,-0.007414842
2015-11-04,17,7,6,227,0.025011617
2015-10-22,78,12,6,757,0.014646261
2015-10-19,45,5,1,484,0.004187424
2015-10-28,9,7,6,244,0.009967048
2015-11-10,27,23,9,421,0.006392169
2015-11-04,79,28,34,1320,0.025011617
2015-10-14,13,13,0,391,-0.007414842
2015-10-19,39,18,1,486,0.004187424
2015-11-02,47,22,0,1220,0.003914286
2015-10-15,59,4,1,504,0.03232198
2015-10-19,43,4,0,518,0.004187424
2015-10-23,23,20,4,485,0.062279544
2015-11-12,83,26,1,709,-0.011362828
2015-11-04,30,2,3,410,0.025011617
2015-10-14,133,10,1,1160,-0.007414842
2015-10-26,45,3,1,510,0.015992447
2015-10-20,122,47,0,1401,-0.021408041
2015-11-04,91,40,1,1576,0.025011617
2015-11-10,24,4,2,387,0.006392169
2015-11-06,50,18,2,836,0.005673714
2015-11-02,31,3,0,493,0.003914286
2015-11-11,22,2,2,321,0.020570591
2015-11-07,104,80,3,1583,-0.005884412
2015-10-20,136,25,7,1505,-0.021408041
2015-10-16,64,28,20,796,0.014792703
2015-10-20,26,22,1,389,-0.021408041
2015-10-22,28,14,12,654,0.014646261
2015-10-14,50,4,3,472,-0.007414842
2015-11-06,74,24,1,829,0.005673714
2015-11-02,111,6,1,912,0.003914286
2015-11-04,19,4,1,280,0.025011617
2015-10-16,36,10,2,628,0.014792703
2015-11-02,22,9,5,355,0.003914286
2015-11-02,35,19,16,607,0.003914286
2015-11-06,119,0,4,2131,0.005673714
2015-10-27,91,14,1,902,0.003943453
2015-10-21,29,13,1,410,-0.009110656
2015-11-07,69,21,11,775,-0.005884412
2015-11-04,31,3,0,466,0.025011617
2015-11-03,75,13,1,806,-0.004838033
2015-10-23,10,5,1,250,0.062279544
2015-10-26,37,25,1,629,0.015992447
2015-10-21,115,28,1,1488,-0.009110656
2015-11-05,51,9,1,674,0.022934725
2015-11-02,35,6,5,304,0.003914286
2015-10-26,25,2,2,346,0.015992447
2015-11-08,16,10,0,264,-0.005884412
2015-11-05,69,8,1,626,0.022934725
2015-10-19,53,8,0,483,0.004187424
2015-10-16,28,9,1,448,0.014792703
2015-10-28,42,4,1,473,0.009967048
2015-10-22,11,10,0,270,0.014646261
2015-11-10,50,33,2,933,0.006392169
2015-10-27,18,31,6,541,0.003943453
2015-11-09,20,1,3,399,-0.005884412
2015-10-15,66,7,2,519,0.03232198
2015-11-06,52,12,1,631,0.005673714
