date,pos,neg,name_mentioned,total,pos_neighbors,neg_neighbors,price_change
2015-10-29,0,0,0,3,0,0,0.010564283
2015-11-03,46,24,3,515,5,0,0.01147054
2015-11-11,56,28,9,834,6,6,-0.005652103
2015-11-04,92,56,2,1058,2,1,-0.004650404
2015-11-10,54,31,18,1001,10,6,-0.031516986
2015-10-25,14,6,3,282,1,0,-0.031911345
2015-11-12,65,31,21,762,20,4,-0.003358884
2015-10-15,22,11,0,284,0,0,0.014971436
2015-10-22,75,32,5,1066,6,1,0.015295341
2015-11-06,78,86,1,1263,0,1,0.00115779
2015-11-09,18,8,1,319,0,0,-0.004047563
2015-10-28,69,29,14,1073,8,6,0.041204661
2015-11-13,77,27,4,1117,3,0,-0.029208477
2015-11-10,31,8,12,506,8,1,-0.031516986
2015-11-10,94,2,5,694,2,0,-0.031516986
2015-11-04,79,28,2,1320,0,1,-0.004650404
2015-11-06,75,29,14,743,15,7,0.00115779
2015-10-21,29,2,1,594,0,0,-8.78527E-05
2015-11-03,37,11,0,534,0,0,0.01147054
2015-11-03,18,8,6,340,3,0,0.01147054
2015-11-13,4,1,3,77,2,1,-0.029208477
2015-11-12,19,4,13,436,4,1,-0.003358884
2015-10-30,30,19,3,614,2,2,-0.008545582
2015-11-09,78,31,1,720,0,0,-0.004047563
2015-10-28,20,11,6,272,3,1,0.041204661
2015-11-12,83,26,1,709,0,0,-0.003358884
2015-10-20,44,3,0,449,0,0,0.018258247
2015-10-19,34,13,3,654,2,0,0.006213995
2015-10-27,20,16,3,375,4,1,-0.006332373
2015-10-21,22,1,2,337,1,0,-8.78527E-05
2015-10-16,95,22,1,799,1,0,-0.007330592
2015-11-04,43,7,1,555,2,0,-0.004650404
2015-11-12,46,22,16,806,7,3,-0.003358884
2015-10-30,38,28,1,389,0,0,-0.008545582
2015-11-13,55,25,12,931,5,3,-0.029208477
2015-10-23,45,4,1,641,1,0,0.030995688
2015-10-26,33,7,1,601,1,0,-0.031911345
2015-11-10,81,28,1,889,1,0,-0.031516986
2015-11-06,98,28,15,1443,9,2,0.00115779
2015-10-16,22,5,2,329,1,0,-0.007330592
2015-11-12,88,8,2,770,2,0,-0.003358884
2015-10-20,78,9,1,484,2,0,0.018258247
2015-11-04,27,7,0,490,0,0,-0.004650404
2015-11-03,39,4,1,477,0,0,0.01147054
2015-10-22,43,11,2,702,0,0,0.015295341
2015-11-05,3,9,0,172,0,0,-0.008852475
2015-10-22,29,6,1,424,5,0,0.015295341
2015-10-27,37,17,2,511,1,1,-0.006332373
2015-11-11,56,11,8,731,5,1,-0.005652103
2015-10-16,25,3,6,337,3,0,-0.007330592
2015-10-22,50,22,2,657,0,0,0.015295341
2015-11-04,91,40,1,1576,1,0,-0.004650404
2015-10-22,0,0,0,3,0,0,0.015295341
2015-10-20,31,6,7,428,4,0,0.018258247
2015-10-15,29,4,7,322,8,1,0.014971436
2015-10-23,17,1,3,226,1,0,0.030995688
2015-10-20,14,3,1,183,1,0,0.018258247
2015-11-13,35,1,1,430,1,0,-0.029208477
2015-11-02,18,6,6,299,3,3,0.014058577
2015-11-10,25,10,1,627,1,1,-0.031516986
2015-11-11,38,11,0,473,0,0,-0.005652103
2015-10-27,67,24,1,886,2,0,-0.006332373
2015-10-28,26,11,5,1044,0,0,0.041204661
2015-10-21,66,22,1,749,0,1,-8.78527E-05
2015-11-05,29,1,0,370,0,0,-0.008852475
2015-10-29,10,4,12,323,7,1,0.010564283
2015-11-11,79,26,9,984,8,5,-0.005652103
2015-11-10,43,38,4,956,1,1,-0.031516986
2015-10-28,23,16,1,358,1,0,0.041204661
2015-11-06,37,10,1,526,0,0,0.00115779
2015-11-02,111,6,1,912,0,0,0.014058577
2015-10-30,17,6,9,341,2,1,-0.008545582
2015-11-10,33,4,1,268,1,0,-0.031516986
2015-10-29,27,16,2,414,0,0,0.010564283
2015-11-12,69,4,2,604,1,0,-0.003358884
2015-10-21,19,4,5,307,4,1,-8.78527E-05
2015-10-27,62,9,1,800,2,0,-0.006332373
2015-10-26,64,7,1,565,0,0,-0.031911345
2015-11-12,26,12,3,421,0,0,-0.003358884
2015-11-09,33,6,1,551,0,0,-0.004047563
2015-10-28,39,21,0,537,0,0,0.041204661
2015-11-04,91,50,1,930,0,0,-0.004650404
2015-11-02,107,35,24,1226,19,7,0.014058577
2015-11-02,17,13,1,248,1,0,0.014058577
2015-11-09,54,12,1,880,2,0,-0.004047563
2015-11-11,51,24,21,670,17,9,-0.005652103
2015-10-18,21,11,6,307,9,1,0.006213995
2015-11-12,61,17,5,783,2,2,-0.003358884
2015-11-06,119,0,25,2131,3,0,0.00115779
2015-10-30,24,6,1,330,0,0,-0.008545582
2015-10-16,171,107,1,2748,2,0,-0.007330592
2015-11-10,38,2,3,386,4,0,-0.031516986
2015-11-12,97,22,11,1066,9,3,-0.003358884
2015-11-11,14,8,5,225,3,2,-0.005652103
2015-11-10,19,17,1,354,0,0,-0.031516986
2015-11-12,23,8,9,363,4,3,-0.003358884
2015-11-03,57,4,1,590,0,0,0.01147054
2015-10-23,38,12,1,515,1,0,0.030995688
2015-10-21,96,2,1,623,0,0,-8.78527E-05
2015-11-07,47,52,1,728,0,0,-0.004047563
2015-11-06,64,11,5,716,7,1,0.00115779
2015-10-30,6,5,0,142,0,0,-0.008545582
2015-10-26,24,15,1,471,0,0,-0.031911345
2015-11-11,33,4,1,347,2,0,-0.005652103
2015-11-02,26,19,0,425,0,0,0.014058577
2015-11-06,161,24,4,1636,4,0,0.00115779
2015-10-16,94,38,1,1269,1,0,-0.007330592
2015-11-08,16,10,6,264,3,5,-0.004047563
2015-11-05,69,8,1,626,0,0,-0.008852475
2015-11-02,46,26,21,746,14,4,0.014058577
2015-10-28,32,17,2,662,4,0,0.041204661
2015-11-09,54,21,1,973,0,0,-0.004047563
2015-11-03,20,1,1,347,0,0,0.01147054
2015-11-11,0,0,0,3,0,0,-0.005652103
2015-10-20,111,6,1,875,2,0,0.018258247
2015-11-12,42,8,2,361,2,0,-0.003358884
2015-10-26,125,44,1,3902,0,0,-0.031911345
2015-11-06,48,5,1,532,1,0,0.00115779
2015-10-20,16,9,1,397,0,2,0.018258247
2015-11-09,36,12,4,464,4,1,-0.004047563
2015-10-27,45,33,1,670,0,1,-0.006332373
2015-11-05,64,13,1,748,0,0,-0.008852475
2015-10-16,36,15,1,383,0,0,-0.007330592
2015-11-06,27,2,1,311,0,1,0.00115779
2015-10-20,22,2,1,391,0,0,0.018258247
2015-10-20,25,12,1,364,0,0,0.018258247
